url_num_hyphens_dom,url_path_len,url_domain_len,url_hostname_len,url_num_underscores,url_ip_present,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('form'),html_num_tags('a'),target,html_num_tags
0.0,8.0,15.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1,9.0
0.0,58.0,17.0,17.0,0.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,21.0,0,61.0
0.0,4.0,16.0,16.0,0.0,0.0,1.0,33.0,0.0,0.0,101.0,3.0,70.0,0,210.0
0.0,13.0,14.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,151.0,1.0,55.0,0,224.0
2.0,12.0,27.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,332.0,0.0,321.0,0,665.0
0.0,0.0,18.0,18.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,18.0,0,29.0
0.0,30.0,19.0,19.0,0.0,0.0,0.0,8.0,0.0,0.0,19.0,1.0,4.0,1,34.0
0.0,0.0,25.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,333.0,1.0,155.0,0,513.0
0.0,22.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,32.0,2.0,29.0,0,82.0
0.0,1.0,18.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,2.0,1,25.0
1.0,19.0,14.0,14.0,0.0,0.0,3.0,36.0,0.0,0.0,168.0,5.0,214.0,1,428.0
0.0,20.0,13.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,25.0,0.0,73.0,0,108.0
0.0,91.0,23.0,23.0,1.0,0.0,0.0,13.0,0.0,0.0,47.0,3.0,31.0,1,96.0
0.0,0.0,20.0,20.0,0.0,0.0,0.0,13.0,0.0,0.0,325.0,1.0,76.0,0,417.0
0.0,31.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0,9.0
0.0,25.0,12.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,0,12.0
0.0,41.0,27.0,27.0,1.0,0.0,0.0,2.0,0.0,0.0,50.0,1.0,8.0,1,63.0
0.0,23.0,20.0,20.0,0.0,0.0,0.0,18.0,0.0,0.0,104.0,9.0,163.0,1,296.0
0.0,28.0,10.0,10.0,1.0,0.0,0.0,12.0,0.0,0.0,5511.0,1.0,13298.0,0,18824.0
0.0,0.0,18.0,15.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,0,17.0
0.0,25.0,10.0,10.0,0.0,1.0,1.0,24.0,0.0,0.0,74.0,0.0,111.0,1,212.0
0.0,59.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0,5.0
0.0,0.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,4.0
0.0,13.0,17.0,17.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0,19.0
1.0,13.0,34.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,88.0,1.0,26.0,1,118.0
0.0,10.0,24.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,16.0,1,62.0
0.0,111.0,16.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,267.0,1.0,163.0,0,439.0
0.0,9.0,16.0,16.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,1.0,24.0,1,70.0
0.0,44.0,32.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1,5.0
0.0,49.0,16.0,16.0,1.0,0.0,0.0,16.0,0.0,0.0,17.0,0.0,12.0,1,47.0
0.0,45.0,22.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0
0.0,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0
0.0,49.0,28.0,28.0,0.0,0.0,0.0,7.0,0.0,0.0,117.0,0.0,12.0,0,138.0
0.0,13.0,13.0,13.0,0.0,1.0,1.0,21.0,0.0,0.0,62.0,1.0,123.0,0,210.0
0.0,86.0,11.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,4.0
1.0,1.0,34.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,16.0,1,62.0
0.0,20.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,32.0,2.0,29.0,0,82.0
0.0,0.0,23.0,23.0,0.0,0.0,0.0,13.0,0.0,0.0,317.0,0.0,114.0,0,446.0
0.0,0.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,4.0
1.0,13.0,34.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,88.0,1.0,26.0,1,118.0
0.0,0.0,19.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,474.0,1.0,566.0,0,1046.0
0.0,0.0,24.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,1.0,40.0,0,92.0
0.0,33.0,20.0,20.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,6.0
0.0,0.0,14.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,183.0,1.0,560.0,0,751.0
1.0,10.0,25.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,16.0,1,62.0
0.0,0.0,17.0,17.0,0.0,0.0,1.0,6.0,0.0,0.0,249.0,3.0,162.0,0,423.0
2.0,10.0,26.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,1.0,15.0,1,56.0
0.0,0.0,17.0,17.0,0.0,0.0,0.0,14.0,0.0,0.0,310.0,1.0,114.0,0,441.0
0.0,0.0,17.0,17.0,0.0,0.0,1.0,6.0,0.0,0.0,249.0,3.0,162.0,0,423.0
0.0,24.0,13.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,45.0,1.0,54.0,1,110.0
0.0,0.0,20.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,45.0,0.0,93.0,0,155.0
0.0,1.0,32.0,32.0,0.0,0.0,0.0,28.0,0.0,0.0,57.0,1.0,5.0,1,93.0
0.0,28.0,23.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0
1.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0,21.0
2.0,11.0,42.0,42.0,0.0,0.0,1.0,3.0,0.0,0.0,24.0,1.0,3.0,1,34.0
0.0,25.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0,9.0
2.0,10.0,32.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,1.0,15.0,1,56.0
0.0,0.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,0,28.0
0.0,34.0,25.0,25.0,0.0,0.0,1.0,8.0,1.0,1.0,41.0,1.0,80.0,0,135.0
0.0,1.0,16.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,99.0,0.0,65.0,1,178.0
0.0,83.0,23.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1,8.0
0.0,10.0,15.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,1.0,15.0,1,56.0
0.0,20.0,9.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,35.0,1.0,55.0,0,107.0
0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,5.0
2.0,10.0,18.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,16.0,1,62.0
0.0,125.0,27.0,27.0,0.0,0.0,1.0,16.0,0.0,0.0,21.0,3.0,15.0,1,58.0
0.0,27.0,12.0,12.0,1.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0,11.0,0,40.0
0.0,126.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.0
0.0,52.0,21.0,21.0,1.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0,19.0
2.0,10.0,33.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,18.0,1,64.0
0.0,0.0,15.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,51.0,0.0,102.0,0,166.0
0.0,14.0,22.0,22.0,0.0,0.0,0.0,10.0,0.0,0.0,19.0,1.0,24.0,1,56.0
0.0,0.0,24.0,24.0,0.0,0.0,0.0,21.0,0.0,0.0,195.0,2.0,54.0,0,274.0
0.0,22.0,15.0,15.0,1.0,0.0,1.0,42.0,0.0,0.0,158.0,2.0,403.0,0,608.0
0.0,10.0,22.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,1.0,15.0,1,45.0
0.0,0.0,17.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,4.0
2.0,10.0,33.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,41.0,1.0,18.0,1,64.0
1.0,1.0,15.0,15.0,0.0,0.0,3.0,35.0,0.0,0.0,114.0,2.0,181.0,1,337.0
0.0,15.0,12.0,12.0,0.0,0.0,1.0,16.0,0.0,0.0,2.0,2.0,27.0,0,50.0
0.0,0.0,17.0,17.0,0.0,0.0,0.0,12.0,0.0,0.0,118.0,1.0,34.0,0,167.0
0.0,30.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0,9.0
0.0,104.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1,5.0
